"Reviews for %s","نظرات برای %s"
"Sales","فروش‌ها"
"Sales Report","گزارش فروش‌ها"
"Search Query","جستار جستجو"
"Search Terms","عبارات جستجو"
"Select day of the month.","انتخاب روز ماه."
"Shipping","ارسال"
"Shopping Cart","سبد خرید"
"Show Actual Values","نمایش مقادیر فعلی"
"Show Report","نمایش گزارش"
"Show for Current","نمایش برای کنونی"
"Specified","تعیین شده"
"Statistics","آمار"
"Stock Qty","تعداد موجودی"
"Submitted In","ارایه شده در"
"Submitted On","ارایه شده بر"
"Subtotal","جمع جز"
"Tag","برچسب"
"Tag ""%s"" details","جزییات برچسب ""%s"""
"Tag Detail","شرح برچسب"
"Tag Name","نام برچسب"
"Tag Use","استفاده‌ی برچسب"
"Tags Submitted by %s","برچسب‌های ارایه شده توسط %s"
"Tags submitted to %s","برچسب‌های ارایه شده برای %s"
"Tax","مالیات"
"Title","عنوان"
"To","تا"
"Total","مجموع"
"Total Invoiced vs. Paid Report","مجموع فاکتور شده در برابر گزارش پرداخت"
"Total Ordered Report","گزارش مجموع سفارش داده شده"
"Total Refunded Report","گزارش مجموع مسترد"
"Total Shipped Report","گزارش مجموع ارسال شده"
"Total Tags","مجموع برچسب‌ها"
"Total invoiced","مجموع فاکتورشده"
"Total refunded","مجموع مسترد شده"
"Updated At","به روز شده در"
"Viewed Products Grid Template","قالب مشبک محصولات مشاهده شده"
"Viewed Products List Template","قالب لیستی محصولات مشاهده شده"
"Visible In","نمایان در"
"Wishlist Report","گزارش لیست دلخواه"
"Wishlist vs. Regular Order","لیست دلخواه در برابر سفارش عادی"
"Wishlists","لیست‌های دلخواه"
"Year","سال"
"Year-To-Date Starts","آغاز سال تا کنون شروع شد"
"Yes","بلی"
"Your Recently Compared","اخیرا مقایسه شده‌یتان"
"Your Recently Viewed","اخیرا مشاهده شده‌یتان"
"undefined","تعریف نشده"
